Environment,message_size,ipc,cpi
crio,1000,1.13,0.8849
crio,2000,1.10,0.9090
crio,3000,1.16,0.8620
crio,4000,1.09,0.9174
crio,5000,1.08,0.9259
crio,6000,1.13,0.8849
crio,7000,1.06,0.9433
crio,8000,1.10,0.9090
crio,9000,1.15,0.8695
crio,10000,1.13,0.8849
crio,11000,1.10,0.9090
crio,12000,1.10,0.9090
crio,13000,1.18,0.8474
crio,14000,1.18,0.8474
crio,15000,1.08,0.9259
crio,16000,1.14,0.8771
crio,17000,1.15,0.8695
crio,18000,1.16,0.8620
crio,19000,1.12,0.8928
crio,20000,1.12,0.8928
crio,21000,1.14,0.8771
crio,22000,1.15,0.8695
crio,23000,1.06,0.9433
crio,24000,1.07,0.9345
crio,25000,1.14,0.8771
crio,26000,1.12,0.8928
crio,27000,1.11,0.9009
crio,28000,1.15,0.8695
crio,29000,1.14,0.8771
crio,30000,1.11,0.9009
crio,31000,1.14,0.8771
crio,32000,1.15,0.8695
crio,33000,1.10,0.9090
crio,34000,1.11,0.9009
crio,35000,1.12,0.8928
crio,36000,1.11,0.9009
crio,37000,1.18,0.8474
crio,38000,1.15,0.8695
crio,39000,1.15,0.8695
crio,40000,1.13,0.8849
docker,1000,1.01,0.99
docker,2000,0.99,1.01
docker,3000,1.01,0.99
docker,4000,1.06,0.943
docker,5000,0.98,1.02
docker,6000,0.95,1.05
docker,7000,0.96,1.0416
docker,8000,0.94,1.0638
docker,9000,0.98,1.02
docker,10000,0.95,1.05
docker,11000,1.01,0.99
docker,12000,1.01,0.99
docker,13000,1.01,0.99
docker,14000,0.96,1.0416
docker,15000,0.97,1.031
docker,16000,1.02,0.98
docker,17000,0.97,1.031
docker,18000,0.85,1.1764
docker,19000,1.04,0.961
docker,20000,1.01,0.99
docker,21000,0.81,1.234
docker,22000,1.01,0.99
docker,23000,1.02,0.98
docker,24000,0.98,1.02
docker,25000,1.02,0.98
docker,26000,1.00,1.00
docker,27000,0.97,1.031
docker,28000,0.99,1.01
docker,29000,1.01,0.99
docker,30000,1.00,1.00
docker,31000,1.00,1.00
docker,32000,0.89,1.1235
docker,33000,1.01,0.99
docker,34000,0.96,1.0416
docker,35000,0.97,1.031
docker,36000,1.01,0.99
docker,37000,0.99,1.01
docker,38000,0.99,1.01
docker,39000,0.96,1.0416
docker,40000,0.96,1.0416
podman,1000,0.90,1.1111
podman,2000,0.89,1.1235
podman,3000,0.92,1.0869
podman,4000,0.91,1.0989
podman,5000,0.90,1.1111
podman,6000,0.90,1.1111
podman,7000,0.88,1.1363
podman,8000,0.90,1.1111
podman,9000,0.90,1.1111
podman,10000,0.88,1.1363
podman,11000,0.88,1.1363
podman,12000,0.86,1.1627
podman,13000,0.88,1.1363
podman,14000,0.87,1.1494
podman,15000,0.87,1.1494
podman,16000,0.87,1.1494
podman,17000,0.86,1.1627
podman,18000,0.85,1.1764
podman,19000,0.84,1.1904
podman,20000,0.83,1.2048
podman,21000,0.83,1.2048
podman,22000,0.84,1.1904
podman,23000,0.81,1.2345
podman,24000,0.82,1.2195
podman,25000,0.81,1.2345
podman,26000,0.83,1.2048
podman,27000,0.82,1.2195
podman,28000,0.82,1.2195
podman,29000,0.80,1.25
podman,30000,0.82,1.2195
podman,31000,0.82,1.2195
podman,32000,0.80,1.25
podman,33000,0.80,1.25
podman,34000,0.79,1.2658
podman,35000,0.79,1.2658
podman,36000,0.78,1.2820
podman,37000,0.77,1.2987
podman,38000,0.79,1.2658
podman,39000,0.76,1.3157
podman,40000,0.78,1.2820
