cpu,mem,I,O,Environment,Api
104.89,0.78,13.5,0.004,Docker,systemd
106.26,1.83,15.8,18.3,Docker,systemd
105.38,1.86,17.9,56.5,Docker,systemd
108.3,2.01,18.1,68.1,Docker,systemd
105.94,2.22,18.5,68.1,Docker,systemd
105.3,2.53,18.5,68.1,Docker,systemd
105.89,2.73,18.5,78.0,Docker,systemd
106.98,2.78,18.6,83.2,Docker,systemd
104.78,3.16,18.6,88.1,Docker,systemd
105.32,3.8,20.0,95.5,Docker,systemd
105.18,3.92,20.2,112.0,Docker,systemd
106.88,3.42,20.2,118.0,Docker,systemd
105.08,3.66,20.2,119.0,Docker,systemd
105.18,3.3,20.3,128.0,Docker,systemd
99.15,3.9,24.3,159.0,Docker,systemd
104.44,3.32,26.1,160.0,Docker,systemd
105.01,3.63,26.1,160.0,Docker,systemd
165.84,3.81,26.1,187.0,Docker,systemd
105.85,3.96,26.1,187.0,Docker,systemd
105.94,4.14,26.1,196.0,Docker,systemd
105.44,4.52,26.1,196.0,Docker,systemd
107.17,4.74,26.1,208.0,Docker,systemd
106.37,4.85,26.1,208.0,Docker,systemd
105.41,4.62,26.1,209.0,Docker,systemd
105.83,4.87,26.1,209.0,Docker,systemd
105.58,5.0,26.1,209.0,Docker,systemd
105.68,4.14,26.1,219.0,Docker,systemd
103.66,4.32,26.1,219.0,Docker,systemd
105.07,4.56,26.1,219.0,Docker,systemd
106.2,4.59,26.1,226.0,Docker,systemd
104.65,4.84,26.1,226.0,Docker,systemd
104.12,5.07,26.1,226.0,Docker,systemd
105.43,5.31,26.1,226.0,Docker,systemd
105.33,5.22,26.1,235.0,Docker,systemd
106.26,5.01,26.1,230.0,Docker,systemd
105.31,5.13,26.1,238.0,Docker,systemd
102.41,5.37,26.1,242.0,Docker,systemd
104.98,5.32,26.1,243.0,Docker,systemd
104.9,5.04,26.1,247.0,Docker,systemd
101.67,4.81,26.1,251.0,Docker,systemd
105.27,4.96,26.2,253.0,Docker,systemd
105.4,5.14,26.2,258.0,Docker,systemd
104.94,5.42,26.2,261.0,Docker,systemd
105.15,5.6,26.2,266.0,Docker,systemd
102.28,5.11,26.2,271.0,Docker,systemd
104.4,5.22,26.2,271.0,Docker,systemd
106.0,5.47,26.2,275.0,Docker,systemd
104.06,5.66,27.4,275.0,Docker,systemd
94.9,5.83,29.3,301.0,Docker,systemd
97.45,4.31,32.3,330.0,Docker,systemd
96.2,5.25,32.6,330.0,Docker,systemd
102.48,5.29,32.6,330.0,Docker,systemd
106.92,5.4,32.6,330.0,Docker,systemd
105.66,5.52,32.6,330.0,Docker,systemd
105.93,5.66,32.6,354.0,Docker,systemd
106.31,5.75,32.6,380.0,Docker,systemd
106.88,5.83,32.6,380.0,Docker,systemd
104.7,5.95,32.6,380.0,Docker,systemd
106.49,6.03,32.6,380.0,Docker,systemd
104.44,6.12,32.6,380.0,Docker,systemd
106.17,6.2,32.6,380.0,Docker,systemd
104.6,6.25,32.6,380.0,Docker,systemd
103.73,6.34,32.6,380.0,Docker,systemd
105.1,6.42,32.6,393.0,Docker,systemd
105.34,6.47,32.6,393.0,Docker,systemd
104.96,6.58,32.6,393.0,Docker,systemd
104.29,6.65,32.6,393.0,Docker,systemd
104.82,6.15,32.6,393.0,Docker,systemd
106.1,6.44,32.6,393.0,Docker,systemd
104.98,6.58,32.6,393.0,Docker,systemd
105.7,6.75,32.6,393.0,Docker,systemd
105.32,6.87,32.6,407.0,Docker,systemd
105.26,6.7,32.6,407.0,Docker,systemd
106.2,5.74,32.6,413.0,Docker,systemd
105.8,5.87,32.6,413.0,Docker,systemd
106.01,5.99,32.6,413.0,Docker,systemd
106.31,6.17,32.6,413.0,Docker,systemd
103.37,6.26,32.6,413.0,Docker,systemd
106.21,6.44,32.6,413.0,Docker,systemd
102.8,6.68,32.6,413.0,Docker,systemd
105.23,6.68,32.6,423.0,Docker,systemd
103.1,6.86,32.6,423.0,Docker,systemd
105.85,5.87,32.7,423.0,Docker,systemd
102.61,6.05,32.7,423.0,Docker,systemd
104.59,6.18,32.7,423.0,Docker,systemd
106.8,6.42,32.7,434.0,Docker,systemd
104.72,6.59,32.7,434.0,Docker,systemd
105.31,6.55,32.7,434.0,Docker,systemd
104.22,6.73,32.7,434.0,Docker,systemd
103.63,6.61,32.7,434.0,Docker,systemd
105.09,6.79,32.7,434.0,Docker,systemd
105.11,6.97,32.7,445.0,Docker,systemd
105.44,6.91,32.7,445.0,Docker,systemd
103.2,4.65,32.9,445.0,Docker,systemd
106.44,4.84,33.1,445.0,Docker,systemd
103.06,5.09,33.1,445.0,Docker,systemd
105.21,5.26,33.1,445.0,Docker,systemd
104.97,5.45,33.1,445.0,Docker,systemd
106.11,5.63,33.1,459.0,Docker,systemd
104.18,5.81,33.1,459.0,Docker,systemd
105.77,5.99,33.1,459.0,Docker,systemd
104.13,6.15,33.1,459.0,Docker,systemd
105.22,6.06,33.1,460.0,Docker,systemd
105.57,5.76,33.1,460.0,Docker,systemd
104.7,5.95,33.1,460.0,Docker,systemd
105.81,5.97,33.1,475.0,Docker,systemd
103.23,6.12,33.1,475.0,Docker,systemd
104.05,6.27,33.1,475.0,Docker,systemd
103.73,6.28,33.2,481.0,Docker,systemd
96.93,6.23,35.2,496.0,Docker,systemd
98.96,6.65,36.8,508.0,Docker,systemd
95.02,7.33,37.5,536.0,Docker,systemd
98.89,7.16,38.1,536.0,Docker,systemd
86.23,7.02,38.1,564.0,Docker,systemd
104.39,6.99,38.1,564.0,Docker,systemd
104.36,7.07,38.1,564.0,Docker,systemd
106.08,7.15,38.1,564.0,Docker,systemd
106.38,7.25,38.1,591.0,Docker,systemd
105.41,7.34,38.1,591.0,Docker,systemd
104.64,7.42,38.1,605.0,Docker,systemd
105.04,6.68,38.1,613.0,Docker,systemd
105.1,6.86,38.1,613.0,Docker,systemd
104.05,7.04,38.1,613.0,Docker,systemd
106.27,7.16,38.1,613.0,Docker,systemd
106.07,7.39,38.1,613.0,Docker,systemd
105.67,7.56,38.1,613.0,Docker,systemd
104.3,7.63,38.1,627.0,Docker,systemd
104.93,7.8,38.1,627.0,Docker,systemd
106.34,7.92,38.1,633.0,Docker,systemd
105.27,7.66,38.1,633.0,Docker,systemd
106.56,7.45,38.1,641.0,Docker,systemd
104.82,7.62,38.1,641.0,Docker,systemd
106.13,7.74,38.1,641.0,Docker,systemd
105.38,7.52,38.1,652.0,Docker,systemd
102.63,7.56,38.1,652.0,Docker,systemd
102.0,7.69,38.1,652.0,Docker,systemd
104.64,7.64,38.1,652.0,Docker,systemd
105.23,7.42,38.1,652.0,Docker,systemd
105.36,7.36,38.1,652.0,Docker,systemd
105.72,7.54,38.1,652.0,Docker,systemd
104.11,7.55,38.1,667.0,Docker,systemd
104.28,6.82,38.1,677.0,Docker,systemd
104.84,6.9,38.1,677.0,Docker,systemd
106.09,7.02,38.1,677.0,Docker,systemd
105.11,7.2,38.1,677.0,Docker,systemd
105.46,7.26,38.1,677.0,Docker,systemd
105.85,7.38,38.1,677.0,Docker,systemd
103.15,7.39,38.1,692.0,Docker,systemd
105.44,7.51,38.1,692.0,Docker,systemd
105.68,7.64,38.1,692.0,Docker,systemd
104.34,7.66,38.1,692.0,Docker,systemd
107.26,7.5,38.1,692.0,Docker,systemd
103.79,7.47,38.1,699.0,Docker,systemd
105.47,7.58,38.1,699.0,Docker,systemd
103.25,7.58,38.1,699.0,Docker,systemd
106.39,7.73,38.1,709.0,Docker,systemd
106.79,7.87,38.1,712.0,Docker,systemd
102.83,7.71,38.2,712.0,Docker,systemd
105.44,7.81,38.2,712.0,Docker,systemd
105.43,7.58,38.2,712.0,Docker,systemd
104.32,7.05,38.2,713.0,Docker,systemd
104.06,6.95,38.4,725.0,Docker,systemd
105.02,6.88,38.4,727.0,Docker,systemd
103.29,7.05,38.4,727.0,Docker,systemd
105.68,6.87,38.4,733.0,Docker,systemd
106.22,5.92,38.4,739.0,Docker,systemd
