Environment,size_message,netserver_time,kernel_time,Container_Engine_time
crio,1000,"1.04","0.555561","4476.156"
crio,2000,"0.68","0.3339","10214.78"
crio,3000,"0.79","0.520162","8715.822"
crio,4000,"0.8","1.36472","6947.76"
crio,5000,"0.84","0.406075","13677.9"
crio,6000,"0.76","0.351574","7731.826"
crio,7000,"0.63","0.781243","5510.175"
crio,8000,"0.74","0.96678","5184.859"
crio,9000,"0.68","0.241254","4645.751"
crio,10000,"0.73","0.291011","4669.537"
docker,1000,"1.26","0.415535","15394.076"
docker,2000,"0.73","0.645802","15631.104"
docker,3000,"0.9","0.631872","14750.308"
docker,4000,"1.03","0.389741","14459.424"
docker,5000,"0.88","0.356134","12264.306"
docker,6000,"0.93","0.588763","10845.9"
docker,7000,"0.76","0.383606","11572.547"
docker,8000,"0.7","0.243902","14440.947"
docker,9000,"0.78","0.337303","14585.047"
docker,10000,"0.87","0.086683","13862.375"
podman,1000,1,"0.139618","50701.386"
podman,2000,"0.69","0.082007","45598.46"
podman,3000,"0.71","0.109441","50526.218"
podman,4000,"0.8","0.11925","54317.904"
podman,5000,"0.85","0.09435","45440.217"
podman,6000,"0.79","0.087775","56103.729"
podman,7000,"0.69","0.1004","54337.459"
podman,8000,"0.74","0.128737","51455.722"
podman,9000,"0.65","0.113277","49825.289"
podman,10000,"1.01","0.127379","49143.34"
