MessageSize,Environment,TCP_mean,TCP_std,TCP_var,time_mean,time_std,time_var
64,CRIO,334.4,9.996802822236061,99.93606666666689,36.0,0.0,0.0
512,CRIO,505.5825,5.788893820642002,33.511291666667155,41.5,3.5355339059327378,12.5
1024,CRIO,904.9675,14.74366163248919,217.37555833333377,35.5,0.7071067811865476,0.5
2048,CRIO,1006.0125,21.990024063955293,483.5611583333328,38.0,2.8284271247461903,8.0
4096,CRIO,2054.6625,106.74457843375485,11394.405025000042,39.5,0.7071067811865476,0.5
16384,CRIO,6824.860000000001,114.30112772846984,13064.747799999976,36.0,1.4142135623730951,2.0
32768,CRIO,11703.8725,213.55819368890192,45607.10209166655,43.5,7.7781745930520225,60.5
65536,CRIO,18848.8625,180.65711968164305,32636.994891667502,39.0,2.8284271247461903,8.0
131072,CRIO,22750.489999999998,372.36443743551405,138655.27426666685,37.0,2.8284271247461903,8.0
262144,CRIO,23993.215,124.0130706820869,15379.241700000282,49.0,0.0,0.0
524288,CRIO,25819.325,64.51119825270841,4161.694700000248,41.5,2.1213203435596424,4.5
1048576,CRIO,25598.45,250.00703310107053,62503.51659999978,37.5,0.7071067811865476,0.5
64,Docker,408.194,10.136985745279517,102.75848000000013,48.5,0.7071067811865476,0.5
512,Docker,582.1859999999999,62.311968994728446,3882.7814799999987,41.0,1.4142135623730951,2.0
1024,Docker,945.65,22.797423099990937,519.7225000000003,36.0,0.0,0.0
2048,Docker,1016.45,26.698301444099425,712.7993000000015,49.5,0.7071067811865476,0.5
4096,Docker,2463.6240000000003,114.12502148959263,13024.52052999998,41.0,1.4142135623730951,2.0
16384,Docker,7705.822,128.0539935730237,16397.82526999999,36.0,0.0,0.0
32768,Docker,13145.926000000001,166.94683578912216,27871.245980000123,39.0,4.242640687119285,18.0
65536,Docker,20411.514000000003,316.1096941411316,99925.3387299998,41.5,3.5355339059327378,12.5
131072,Docker,24776.456,253.4123750529953,64217.831829999945,36.0,0.0,0.0
262144,Docker,25893.846,80.95180714474571,6553.195080000103,47.5,2.1213203435596424,4.5
524288,Docker,28081.51,172.19314126875074,29650.477899999943,41.5,2.1213203435596424,4.5
1048576,Docker,26975.904000000002,647.0296590419945,418647.37967999966,36.5,0.7071067811865476,0.5
64,Podman ,400.594,9.651690525498646,93.15513000000031,50.0,0.0,0.0
512,Podman,532.028,9.373500946818137,87.8625200000005,41.5,0.7071067811865476,0.5
1024,Podman,1002.7540000000001,46.049252219770075,2120.533629999999,36.0,1.4142135623730951,2.0
2048,Podman,1107.6680000000001,31.629412261374707,1000.4197200000006,49.0,1.4142135623730951,2.0
4096,Podman,2519.678,87.48968236312214,7654.444520000005,40.5,0.7071067811865476,0.5
16384,Podman,7814.264,137.22688413718373,18831.217730000048,36.0,0.0,0.0
32768,Podman,13497.914,213.71265236293306,45673.09777999988,49.5,0.7071067811865476,0.5
65536,Podman,21760.916,392.8982717320088,154369.05192999946,41.0,0.0,0.0
131072,Podman,25239.842,386.5091547039994,149389.32667000015,36.5,0.7071067811865476,0.5
262144,Podman,26825.212,323.6515629036876,104750.33416999965,64.5,16.263455967290593,264.5
524288,Podman,29138.379999999997,328.99533712501176,108237.93185000014,40.0,1.4142135623730951,2.0
1048576,Podman,28210.294,662.8332730257282,439347.9478299995,37.0,1.4142135623730951,2.0
