MessageSize,Environment,TCP_mean,TCP_std,TCP_var
64,Crio-runc,334.4,9.996802822236061,99.93606666666689
512,Crio-runc,505.5825,5.788893820642002,33.511291666667155
1024,Crio-runc,904.9675,14.74366163248919,217.37555833333377
2048,Crio-runc,1006.0125,21.990024063955293,483.5611583333328
4096,Crio-runc,2054.6625,106.74457843375485,11394.405025000042
16384,Crio-runc,6824.860000000001,114.30112772846984,13064.747799999976
32768,Crio-runc,11703.8725,213.55819368890192,45607.10209166655
65536,Crio-runc,18848.8625,180.65711968164305,32636.994891667502
131072,Crio-runc,22750.489999999998,372.36443743551405,138655.27426666685
262144,Crio-runc,23993.215,124.0130706820869,15379.241700000282
524288,Crio-runc,25819.325,64.51119825270841,4161.694700000248
1048576,Crio-runc,25598.45,250.00703310107053,62503.51659999978
64,Docker-Crun,318.182,11.803496092260108,139.32251999999966
512,Docker-Crun ,469.59800000000007,9.574239917612248,91.66606999999979
1024,Docker-Crun,863.882,84.90117914375516,7208.210220000005
2048,Docker-Crun,948.952,44.528541071991135,1982.7909700000014
4096,Docker-Crun ,2229.688,176.44638369771144,31133.326320000007
16384,Docker-Crun,6560.906,359.92487741193946,129545.91737999964
32768,Docker-Crun,11421.812,620.0881428232603,384509.3048700001
65536,Docker-Crun ,18311.514000000003,1105.220494417291,1221512.3412800012
131072,Docker-Crun,22118.554,1098.00155631948,1205607.41768
262144,Docker-Crun,23698.138,941.36755394479,886172.871619997
524288,Docker-Crun ,25488.816,1198.1584741510605,1435583.7291799975
1048576,Docker-Crun,25475.212,1039.2832526169193,1080109.6791700032
64,Docker-runc,408.194,10.136985745279517,102.75848000000013
512,Docker-runc,582.1859999999999,62.311968994728446,3882.7814799999987
1024,Docker-runc,945.65,22.797423099990937,519.7225000000003
2048,Docker-runc,1016.45,26.698301444099425,712.7993000000015
4096,Docker-runc,2463.6240000000003,114.12502148959263,13024.52052999998
16384,Docker-runc,7705.822,128.0539935730237,16397.82526999999
32768,Docker-runc,13145.926000000001,166.94683578912216,27871.245980000123
65536,Docker-runc,20411.514000000003,316.1096941411316,99925.3387299998
131072,Docker-runc,24776.456,253.4123750529953,64217.831829999945
262144,Docker-runc,25893.846,80.95180714474571,6553.195080000103
524288,Docker-runc,28081.51,172.19314126875074,29650.477899999943
1048576,Docker-runc,26975.904000000002,647.0296590419945,418647.37967999966
64,Podman-runc,423.38,10.136985745279517,102.75848000000013
512,Podman-runc,522.55,62.311968994728446,3882.7814799999987
1024,Podman-runc,1028.5625,22.797423099990937,519.7225000000003
2048,Podman-runc,1112.455,26.698301444099425,712.7993000000015
4096,Podman-runc,2487.6325,114.12502148959263,13024.52052999998
16384,Podman-runc,7787.885,128.0539935730237,16397.82526999999
32768,Podman-runc,13536.0575,166.94683578912216,27871.245980000123
65536,Podman-runc,21553.525,316.1096941411316,99925.3387299998
131072,Podman-runc,25118.435,253.4123750529953,64217.831829999945
262144,Podman-runc,26838.2875,80.95180714474571,6553.195080000103
524288,Podman-runc,28845.855,172.19314126875074,29650.477899999943
1048576,Podman-runc,28226.6075,647.0296590419945,418647.37967999966
64,Podman-crun ,400.594,9.651690525498646,93.15513000000031
512,Podman-crun ,532.028,9.373500946818137,87.8625200000005
1024,Podman-crun ,1002.7540000000001,46.049252219770075,2120.533629999999
2048,Podman-crun ,1107.6680000000001,31.629412261374707,1000.4197200000006
4096,Podman-crun ,2519.678,87.48968236312214,7654.444520000005
16384,Podman-crun ,7814.264,137.22688413718373,18831.217730000048
32768,Podman-crun ,13497.914,213.71265236293306,45673.09777999988
65536,Podman-crun ,21760.916,392.8982717320088,154369.05192999946
131072,Podman-crun ,25239.842,386.5091547039994,149389.32667000015
262144,Podman-crun ,26825.212,323.6515629036876,104750.33416999965
524288,Podman-crun ,29138.379999999997,328.99533712501176,108237.93185000014
1048576,Podman-crun ,28210.294,662.8332730257282,439347.9478299995
