Concurrency,environment,Requests_mean,Requests_std,var
100,Crio-runc,4871.41,2.8567113959939476,8.16080000000169
100,Docker-crun,6132.5599999999995,70.88038374614034,5024.028800000115
100,Docker-runc,6264.360000000001,24.975011511508974,623.7512000000058
100,Podman-crun,5760.615,46.39327591364883,2152.3360499999485
100,Podman-runc,5789.555,225.5175657238258,50858.17245000009
200,Crio-runc,5013.79,29.11865724926223,847.896200000012
200,Docker-crun,6166.215,16.44023266258723,270.28125
200,Docker-runc,6266.675,6.597306268470437,43.52444999999932
200,Podman-crun,5862.62,90.6793736193627,8222.748799999972
200,Podman-runc,5960.42,44.12346314604031,1946.8799999999774
300,Crio-runc,5085.225,24.19012298439214,585.1620500000168
300,Docker-crun,6214.969999999999,45.63667165778007,2082.705800000027
300,Docker-runc,6276.875,7.587255762131346,57.566449999995314
300,Podman-crun,5939.955,113.17244032890642,12808.001249999883
300,Podman-runc,5959.415,18.2079996155536,331.53125
400,Crio-runc,5178.41,17.295831867822656,299.1457999999898
400,Docker-crun,6225.705,59.99801038367882,3599.761250000031
400,Docker-runc,6300.42,19.23330444827461,369.9200000000198
400,Podman-crun,5966.13,128.1136066153789,16413.096200000055
400,Podman-runc,6038.0650000000005,48.51459625720912,2353.666050000009
500,Crio-runc,5244.275,11.504627329904473,132.3564499999849
500,Docker-crun,6222.01,35.963450891147254,1293.3697999999602
500,Docker-runc,6278.205,20.79601043469626,432.4740499999957
500,Podman-crun,5912.62,27.464027381285607,754.2728000000056
500,Podman-runc,6018.945,11.334921702420498,128.4804500000032
600,Crio-runc,5254.1849999999995,18.94339066798726,358.85204999998683
600,Docker-crun,6229.35,62.67794508437548,3928.5247999999888
600,Docker-runc,6290.485000000001,4.1507168055646355,17.22844999999669
600,Podman-crun,6018.195,114.64322243377535,13143.068450000092
600,Podman-runc,6045.13,50.444997769848406,2544.6978000000104
700,Crio-runc,5258.855,10.062129496285227,101.2464500000132
700,Docker-crun,6252.71,71.23393713673265,5074.273799999978
700,Docker-runc,6282.285,33.849201615400276,1145.7684500000166
700,Podman-crun,5941.97,195.40188791309066,38181.89780000004
700,Podman-runc,6022.094999999999,115.12405504498176,13253.54804999999
1000,Crio-runc,5307.74,22.24557933612849,494.86579999998685
1000,Docker-crun,6224.49,44.22245809540698,1955.6258000000262
1000,Docker-runc,6289.0,5.204305909533401,27.084800000004282
1000,Podman-crun,6049.11,148.30857628606634,21995.433799999955
1000,Podman-runc,6067.865,2.312239174480319,5.346450000001427
2000,Crio-runc,5372.33,43.75576761982396,1914.567200000035
2000,Docker-crun,6253.925,64.12751398580835,4112.338050000046
2000,Docker-runc,6321.15,16.20688742479572,262.66320000000167
2000,Podman-crun,5948.835,158.25756869736082,25045.458049999885
2000,Podman-runc,6194.6,44.717432842238075,1999.6488000000725
3000,Crio-runc,5435.38,14.622968234938009,213.83120000000602
3000,Docker-crun,6259.52,68.08024089264029,4634.919199999932
3000,Docker-runc,6327.08,7.73574818618119,59.84180000000557
3000,Podman-crun,6209.275,73.60274485370783,5417.364050000016
3000,Podman-runc,6195.2,65.11039241165724,4239.363199999993
4000,Crio-runc,5673.975,42.4193358033818,1799.4000500000689
4000,Docker-crun,6439.15,17.30997400344734,299.63520000002273
4000,Docker-runc,6569.4400000000005,20.025264043203784,401.0112000000304
4000,Podman-crun,6160.1,121.76378772032368,14826.420000000047
4000,Podman-runc,6246.41,89.60457131195916,8028.979199999974
5000,Crio-runc,5893.57,27.93071785686863,780.125
5000,Docker-crun,6616.405000000001,43.522422382031806,1894.2012499999832
5000,Docker-runc,6748.785,54.369440405433224,2956.036049999955
5000,Podman-crun,6373.96,126.23270257742277,15934.695200000078
5000,Podman-runc,6387.545,64.56592019014329,4168.758049999953
6000,Crio-runc,6103.0,50.55813485483815,2556.125
6000,Docker-crun,6968.155000000001,93.06232347196097,8660.596049999896
6000,Docker-runc,7023.639999999999,7.198347032478938,51.81619999999833
6000,Podman-crun,6462.389999999999,74.37349124520031,5531.416199999887
6000,Podman-runc,6552.8150000000005,11.858180720497746,140.61644999998444
7000,Crio-runc,6415.055,24.16183871314438,583.7944500000025
7000,Docker-crun,7097.65,35.36948119495109,1251.000199999999
7000,Docker-runc,7196.675,42.023356005916725,1765.9624500000173
7000,Podman-crun,6805.0,45.36797108092879,2058.2527999999907
7000,Podman-runc,6850.82,68.06609875701722,4632.993800000021
8000,Docker-crun,7695.88,30.419733726645585,925.3602000000188
8000,Docker-runc,7891.2,12.388510806388622,153.47520000000765
8000,Podman-crun,7681.665,44.6820775031783,1996.4880500000322
8000,Podman-runc,7507.12,284.5114844782197,80946.78480000024
9000,Docker-crun,10830.675,522.2902817878197,272787.1384500001
9000,Docker-runc,10883.425,351.29771996128767,123410.08804999929
9000,Podman-crun,10805.86,168.68739371986177,28455.43679999966
9000,Podman-runc,10923.375,145.67106799223953,21220.06004999967
