ops_sec,mb_sec,time_exec,entries_db,Environment
279004,16.0,114.693,50,Crio
135807,8.7,235.627,100,Crio
104284,6.6,306.852,150,Crio
80714,5.4,396.459,200,Crio
85385,5.7,374.770,250,Crio
73829,5.0,433.430,300,Crio
73076,5.1,437.896,350,Crio
69226,4.8,462.251,400,Crio
71324,4.9,448.656,450,Crio
67816,4.7,471.861,500,Crio
135544,9,236.85,50,Docker
104133,6.6,307.299,100,Docker
90936,6,351.895,150,Docker
76894,5.2,416.156,200,Docker
68332,4.7,468.295,250,Docker
66235,4.6,483.122,300,Docker
67115,4.8,476.793,350,Docker
64505,4.6,496.84,400,Docker
61576,4.6,519.678,450,Docker
59436,4.5,538.394,500,Docker
216007,15.8,148.143,50,Podman
116357,8.2,275.015,100,Podman
91868,6.3,348.324,150,Podman
59922,4.1,534.026,200,Podman
64048,4.5,499.618,250,Podman
58439,4.1,547.578,300,Podman
52462,3.6,609.958,350,Podman
51555,3.6,620.686,400,Podman
44370,3,721.196,450,Podman
42128,2.9,756.919,500,Podman
