test,Environment,rps_mean,p50_latency_mean,p95_latency_mean,p99_latency_mean
GET,CRIO,64172.344000000005,0.35259999999999997,0.567,0.7758
HSET,CRIO,61646.098,0.383,0.591,0.8038000000000001
INCR,CRIO,60310.362,0.391,0.583,0.799
LPOP,CRIO,64532.266,0.35100000000000003,0.5814,0.807
LPUSH,CRIO,63773.708,0.375,0.5734,0.7974
LRANGE_100 ,CRIO,37013.652,0.6277999999999999,1.0230000000000001,1.4182000000000001
LRANGE_300 ,CRIO,16263.001999999999,1.391,2.1542,2.6006
LRANGE_500 ,CRIO,11166.95,1.9926000000000001,3.0086000000000004,3.447
LRANGE_600 ,CRIO,9451.878,2.4422,3.6277999999999997,4.7654
MSET ,CRIO,68969.38200000001,0.3462,0.7125999999999999,1.0917999999999999
PING_INLINE,CRIO,62486.79,0.3718,0.5926,0.8597999999999999
PING_MBULK,CRIO,62406.346,0.3782,0.5766,0.8086
RPOP,CRIO,64691.29,0.3718,0.5818,0.799
RPUSH,CRIO,60724.552,0.40700000000000003,0.5878,0.8006
SADD,CRIO,64209.81800000001,0.35419999999999996,0.5702,0.791
SET,CRIO,62395.67,0.3798,0.5862,0.8006
SPOP,CRIO,64402.090000000004,0.35419999999999996,0.567,0.7846
ZADD,CRIO,62478.297999999995,0.38780000000000003,0.583,0.783
ZPOPMIN,CRIO,64262.088,0.3638,0.5654,0.7942
PING_INLINE,Docker,62170.49,0.455,0.551,0.775
PING_MBULK,Docker,62933.46,0.343,0.551,0.751
SET,Docker,64813.86,0.335,0.551,0.791
GET,Docker,62089.43,0.463,0.551,0.783
INCR,Docker,63475.54,0.359,0.551,0.783
LPUSH,Docker,72954.36,0.319,0.791,1.071
RPUSH,Docker,64328.54,0.335,0.551,0.791
LPOP,Docker,65961.76,0.327,0.551,0.791
RPOP,Docker,65670.23,0.327,0.551,0.791
SADD,Docker,62497.66,0.447,0.551,0.791
HSET,Docker,66993.15,0.327,0.551,0.783
SPOP,Docker,61155.34,0.471,0.551,0.775
ZADD,Docker,64728.69,0.335,0.559,0.791
ZPOPMIN,Docker,61675.10,0.471,0.551,0.783
LPUSH,Docker,71752.99,0.319,0.831,1.103
LRANGE_100,Docker,37583.81,0.943,1.791,2.191
LRANGE_300,Docker,16133.33,2.223,3.847,5.015
LRANGE_500,Docker,10632.00,3.399,5.735,7.119
LRANGE_600,Docker,8936.54,4.031,6.751,8.175
MSET ,Docker,72650.13,0.335,0.975,1.279
PING_INLINE,Podman,61461.68,0.439,0.559,0.775
PING_MBULK,Podman,60363.51,0.463,0.575,0.759
SET,Podman,64320.68,0.335,0.559,0.783
GET,Podman,60968.92,0.479,0.567,0.783
INCR,Podman,60796.55,0.479,0.567,0.783
LPUSH,Podman,70350.70,0.327,0.839,1.111
RPUSH,Podman,61474.53,0.431,0.575,0.799
LPOP,Podman,64505.73,0.335,0.567,0.791
RPOP,Podman,63950.89,0.343,0.567,0.791
SADD,Podman,59483.09,0.487,0.575,0.799
HSET,Podman,63717.00,0.335,0.559,0.791
SPOP,Podman,61191.64,0.447,0.559,0.767
ZADD,Podman,66597.85,0.327,0.559,0.783
ZPOPMIN,Podman,61590.38,0.391,0.567,0.767
LPUSH,Podman,70620.97,0.327,0.831,1.103
LRANGE_100,Podman,34693.91,0.967,1.951,2.479
LRANGE_300,Podman,14963.23,1.959,3.247,4.447
LRANGE_500,Podman,9925.70,3.679,5.911,7.343
LRANGE_600,Podman,8446.17,4.319,6.911,8.423
MSET,Podman,68708.22,0.351,0.975,1.295
