tests,Environment,debit_mean,debit_std,debit_var,time_mean,time_std,time_var
Add,Crio-runc,13435.25,76.71429679879361,5885.083333333397,12.258325,2.1939992090168743,4.813632529166671
Scale,Crio-runc,11363.725,108.40364000653639,11751.349166666738,9.740025,1.7396165868278752,3.026265869166666
Triad,Crio-runc,12615.15,172.34493513494007,29702.7766666667,13.09435,2.3893933030513557,5.709200356666668
Copy,Crio-runc,17770.45,192.02788859954927,36874.7100000009,8.175375,2.754705151040065,7.588400469166667
Add,Docker-crun,14587.35,404.68646711579925,163771.13666666686,9.8171,5.621765796734452,31.60425067333334
Scale,Docker-crun,12787.9,215.8987880157435,46612.28666666694,7.56945,4.312368256924881,18.59651998333333
Triad,Docker-crun,14519.875,311.8551626957615,97253.64249999989,9.9658,5.635789991355841,31.76212882666667
Copy,Docker-crun,19143.4,910.2172194958,828495.3866666653,4.9946,2.7272078175305965,7.437662479999999
Copy,Docker-runc,14268.400000000001,608.5552275677204,370339.4649999999,11.1503,5.1930428519799445,26.967694062499994
Scale,Docker-runc,12599.577777777777,478.8698486482987,229316.3319444445,8.435488888888889,4.003674224210945,16.02940729361111
Add,Docker-runc,14157.533333333333,706.1502549033037,498648.18250000075,11.25451111111111,5.2673786325468495,27.745277658611116
Triad,Docker-runc,18676.7,1112.9375252007642,1238629.9350000015,5.622544444444444,2.5257439434308813,6.37938246777778
Copy,Podman-crun,14304.122222222222,590.0112684893776,348113.2969444444,11.8323,5.263058278938207,27.6997824475
Scale,Podman-crun,12566.066666666668,569.2951343547562,324096.94999999995,9.105977777777778,4.100833019880771,16.816831456944445
Add,Podman-crun,14172.877777777778,725.8847563108383,526908.6794444451,11.996133333333333,5.365328197789954,28.786746669999992
Triad,Podman-crun,18859.477777777778,1134.549435654719,1287202.4219444415,5.9709,2.608962535185203,6.806685510000001
Add,Podman-runc,14635.84,361.1069204543167,130398.20800000023,15.5315,2.779964466499526,7.7282024349999965
Scale,Podman-runc,12659.76,468.9731687420932,219935.8329999998,12.038599999999999,2.3300042124425446,5.428919630000003
Triad,Podman-runc,14351.4,612.2772942058194,374883.4849999995,15.8893,3.1231831614556325,9.75427306
Copy,Podman-runc,19540.120000000003,511.3030481035675,261430.80699999904,7.79452,1.4317810716027781,2.049997037
