Tests,BASELINE,RESULT,INDEX,time_sec,Environment
Dhrystone_2,116700.0,50945884.1,4365.5,10.0,crio
Double-Precision,55.0,22619.8,4412.7,10.0,crio
Execl_Throughput,43.0,17984.8,4182.5,30,crio
File_Copy_1024,3960.0,832139.8,2101.4,30,crio
File_Copy_256,1655.0,216927.0,1310.7,30,crio
File_Copy_4096,5800.0,2478971.0,4274.1,30,crio
Pipe_Throughput,12440.0,1220461.0,981.1,10.0,crio
Pipe-based,4000.0,160282.9,400.7,10.0,crio
Process_Creation,126.0,23297.8,1849.0,30,crio
Shell_Scripts_1C,42.4,16657.3,3928.6,60.0,crio
Shell_Scripts_8C,6.0,2428.3,4047.1,60.1,crio
System_Call,15000.0,670696.0,447.1,10.0,crio
Dhrystone_2,116700.0,107560651.6,9216.9,10.0,Docker
Double-Precision,55.0,23010.5,4183.7,9.6,Docker
Execl_Throughput,43.0,7716.6,1794.6,29.9,Docker
File_Copy_1024,3960.0,1053636.9,2660.7,30,Docker
File_Copy_256,1655.0,272712.6,1647.8,30,Docker
File_Copy_4096,5800.0,3169493.9,5464.8,30,Docker
Pipe_Throughput,12440.0,1427908.1,1147.8,10.0,Docker
Pipe-based,4000.0,300320.4,750.8,10.0,Docker
Process_Creation,126.0,17577.9,1395.1,30,Docker
Shell_Scripts_1C,42.4,16935.5,3994.2,60,Docker
Shell_Scripts_8C,6.0,2203.0,3671.7,60.1,Docker
System_Call,15000.0,693167.6,462.1,10.0,Docker
Dhrystone_2,116700.0,50480379.8,4325.7,10.0,Podman
Double-Precision,55.0,22330.1,4060.0,9.7,Podman
Execl_Throughput,43.0,17953.4,4175.2,30,Podman
File_Copy_1024,3960.0,820565.6,2072.1,30,Podman
File_Copy_256,1655.0,220210.5,1330.6,30,Podman
File_Copy_4096,5800.0,2535629.2,4371.8,30,Podman
Pipe_Throughput,12440.0,1297224.3,1042.8,10.0,Podman
Pipe-based,4000.0,292117.1,730.3,10.0,Podman
Process_Creation,126.0,27001.7,2143.0,30,Podman
Shell_Scripts_1C,42.4,18349.6,4327.7,60,Podman
Shell_Scripts_8C,6.0,2548.7,4247.9,60,Podman
System_Call,15000.0,663200.5,4422.1,10.0,Podman
