iteration,runtime,type,duration_ms,avg_pkg_watt,avg_cor_watt,avg_gfx_watt,avg_cpu_c6,power_file
1,docker,run,399,0.90,7.68,0.00,0.00,./output_RUN_20250724_080241/run1_docker/power.txt
2,docker,run,341,0.91,7.71,0.00,0.00,./output_RUN_20250724_080241/run2_docker/power.txt
3,docker,run,372,0.91,7.71,0.00,0.00,./output_RUN_20250724_080241/run3_docker/power.txt
4,docker,run,346,0.92,7.71,0.00,0.00,./output_RUN_20250724_080241/run4_docker/power.txt
5,docker,run,347,0.92,7.70,0.00,0.00,./output_RUN_20250724_080241/run5_docker/power.txt
6,docker,run,404,0.94,7.72,0.00,0.00,./output_RUN_20250724_080241/run6_docker/power.txt
7,docker,run,378,0.92,7.71,0.00,0.00,./output_RUN_20250724_080241/run7_docker/power.txt
8,docker,run,360,0.91,7.71,0.00,0.00,./output_RUN_20250724_080241/run8_docker/power.txt
9,docker,run,375,0.93,7.71,0.00,0.00,./output_RUN_20250724_080241/run9_docker/power.txt
10,docker,run,334,0.92,7.71,0.00,0.00,./output_RUN_20250724_080241/run10_docker/power.txt
11,docker,run,387,0.92,7.71,0.00,0.00,./output_RUN_20250724_080241/run11_docker/power.txt
12,docker,run,397,0.93,7.71,0.00,0.00,./output_RUN_20250724_080241/run12_docker/power.txt
13,docker,run,341,0.93,7.72,0.00,0.00,./output_RUN_20250724_080241/run13_docker/power.txt
14,docker,run,339,0.92,7.71,0.00,0.00,./output_RUN_20250724_080241/run14_docker/power.txt
15,docker,run,364,0.91,7.69,0.00,0.00,./output_RUN_20250724_080241/run15_docker/power.txt
16,docker,run,398,0.93,7.71,0.00,0.00,./output_RUN_20250724_080241/run16_docker/power.txt
17,docker,run,383,0.92,7.71,0.00,0.00,./output_RUN_20250724_080241/run17_docker/power.txt
18,docker,run,396,0.92,7.71,0.00,0.00,./output_RUN_20250724_080241/run18_docker/power.txt
19,docker,run,349,0.94,7.72,0.00,0.00,./output_RUN_20250724_080241/run19_docker/power.txt
20,docker,run,399,0.91,7.70,0.00,0.00,./output_RUN_20250724_080241/run20_docker/power.txt
21,docker,run,359,0.91,7.71,0.00,0.00,./output_RUN_20250724_080241/run21_docker/power.txt
22,docker,run,359,0.91,7.70,0.00,0.00,./output_RUN_20250724_080241/run22_docker/power.txt
23,docker,run,388,0.92,7.70,0.00,0.00,./output_RUN_20250724_080241/run23_docker/power.txt
24,docker,run,375,0.93,7.71,0.00,0.00,./output_RUN_20250724_080241/run24_docker/power.txt
25,docker,run,359,0.91,7.71,0.00,0.00,./output_RUN_20250724_080241/run25_docker/power.txt
26,docker,run,343,0.93,7.72,0.00,0.00,./output_RUN_20250724_080241/run26_docker/power.txt
27,docker,run,367,0.92,7.70,0.00,0.00,./output_RUN_20250724_080241/run27_docker/power.txt
28,docker,run,395,0.92,7.70,0.00,0.00,./output_RUN_20250724_080241/run28_docker/power.txt
29,docker,run,343,0.92,7.71,0.00,0.00,./output_RUN_20250724_080241/run29_docker/power.txt
30,docker,run,360,0.92,7.70,0.00,0.00,./output_RUN_20250724_080241/run30_docker/power.txt
1,podman,run,629,0.91,7.71,0.00,0.00,./output_RUN_20250724_080241/run1_podman/power.txt
2,podman,run,528,0.92,7.72,0.00,0.00,./output_RUN_20250724_080241/run2_podman/power.txt
3,podman,run,629,0.92,7.72,0.00,0.00,./output_RUN_20250724_080241/run3_podman/power.txt
4,podman,run,529,0.98,7.75,0.00,0.00,./output_RUN_20250724_080241/run4_podman/power.txt
5,podman,run,528,0.95,7.74,0.00,0.00,./output_RUN_20250724_080241/run5_podman/power.txt
6,podman,run,529,0.93,7.73,0.00,0.00,./output_RUN_20250724_080241/run6_podman/power.txt
7,podman,run,528,0.92,7.73,0.00,0.00,./output_RUN_20250724_080241/run7_podman/power.txt
8,podman,run,528,0.93,7.73,0.00,0.00,./output_RUN_20250724_080241/run8_podman/power.txt
9,podman,run,529,0.93,7.73,0.00,0.00,./output_RUN_20250724_080241/run9_podman/power.txt
10,podman,run,530,0.92,7.72,0.00,0.00,./output_RUN_20250724_080241/run10_podman/power.txt
11,podman,run,529,0.91,7.72,0.00,0.00,./output_RUN_20250724_080241/run11_podman/power.txt
12,podman,run,627,0.93,7.72,0.00,0.00,./output_RUN_20250724_080241/run12_podman/power.txt
13,podman,run,529,0.91,7.72,0.00,0.00,./output_RUN_20250724_080241/run13_podman/power.txt
14,podman,run,529,0.93,7.72,0.00,0.00,./output_RUN_20250724_080241/run14_podman/power.txt
15,podman,run,628,0.93,7.73,0.00,0.00,./output_RUN_20250724_080241/run15_podman/power.txt
16,podman,run,629,0.93,7.73,0.00,0.00,./output_RUN_20250724_080241/run16_podman/power.txt
17,podman,run,630,0.93,7.72,0.00,0.00,./output_RUN_20250724_080241/run17_podman/power.txt
18,podman,run,528,0.93,7.73,0.00,0.00,./output_RUN_20250724_080241/run18_podman/power.txt
19,podman,run,629,0.93,7.74,0.00,0.00,./output_RUN_20250724_080241/run19_podman/power.txt
20,podman,run,528,0.92,7.72,0.00,0.00,./output_RUN_20250724_080241/run20_podman/power.txt
