iteration,runtime,type,duration_ms,avg_pkg_watt,avg_cor_watt,avg_gfx_watt,avg_cpu_c6,power_file
1,docker,run,1516,2.00,8.64,0.00,0.00,./output_RUN_20250723_230348/run1_docker/power.txt
2,docker,run,1492,2.06,8.71,0.00,0.00,./output_RUN_20250723_230348/run2_docker/power.txt
3,docker,run,1544,2.03,8.91,0.00,0.00,./output_RUN_20250723_230348/run3_docker/power.txt
4,docker,run,1534,2.04,8.67,0.00,0.00,./output_RUN_20250723_230348/run4_docker/power.txt
5,docker,run,1535,2.06,8.71,0.00,0.00,./output_RUN_20250723_230348/run5_docker/power.txt
6,docker,run,1498,2.06,8.76,0.00,0.00,./output_RUN_20250723_230348/run6_docker/power.txt
7,docker,run,1550,2.08,8.77,0.00,0.00,./output_RUN_20250723_230348/run7_docker/power.txt
8,docker,run,1538,2.08,8.80,0.00,0.00,./output_RUN_20250723_230348/run8_docker/power.txt
9,docker,run,1525,2.10,8.79,0.00,0.00,./output_RUN_20250723_230348/run9_docker/power.txt
10,docker,run,1533,2.08,8.80,0.00,0.00,./output_RUN_20250723_230348/run10_docker/power.txt
11,docker,run,1484,2.12,8.85,0.00,0.00,./output_RUN_20250723_230348/run11_docker/power.txt
12,docker,run,1514,2.10,9.04,0.00,0.00,./output_RUN_20250723_230348/run12_docker/power.txt
13,docker,run,1504,2.06,8.74,0.00,0.00,./output_RUN_20250723_230348/run13_docker/power.txt
14,docker,run,1526,2.08,8.79,0.00,0.00,./output_RUN_20250723_230348/run14_docker/power.txt
15,docker,run,1499,2.10,8.77,0.00,0.00,./output_RUN_20250723_230348/run15_docker/power.txt
16,docker,run,1442,2.13,9.06,0.00,0.00,./output_RUN_20250723_230348/run16_docker/power.txt
17,docker,run,1509,2.09,8.75,0.00,0.00,./output_RUN_20250723_230348/run17_docker/power.txt
18,docker,run,1466,2.10,8.81,0.00,0.00,./output_RUN_20250723_230348/run18_docker/power.txt
19,docker,run,1454,2.09,8.76,0.00,0.00,./output_RUN_20250723_230348/run19_docker/power.txt
20,docker,run,1525,2.03,8.71,0.00,0.00,./output_RUN_20250723_230348/run20_docker/power.txt
21,docker,run,1491,2.09,8.79,0.00,0.00,./output_RUN_20250723_230348/run21_docker/power.txt
22,docker,run,1529,2.06,8.93,0.00,0.00,./output_RUN_20250723_230348/run22_docker/power.txt
23,docker,run,1579,2.04,8.70,0.00,0.00,./output_RUN_20250723_230348/run23_docker/power.txt
24,docker,run,1414,2.10,8.78,0.00,0.00,./output_RUN_20250723_230348/run24_docker/power.txt
25,docker,run,1504,2.06,8.94,0.00,0.00,./output_RUN_20250723_230348/run25_docker/power.txt
26,docker,run,1497,2.07,8.73,0.00,0.00,./output_RUN_20250723_230348/run26_docker/power.txt
27,docker,run,1503,2.07,8.71,0.00,0.00,./output_RUN_20250723_230348/run27_docker/power.txt
28,docker,run,1513,2.06,8.69,0.00,0.00,./output_RUN_20250723_230348/run28_docker/power.txt
29,docker,run,1557,2.02,8.69,0.00,0.00,./output_RUN_20250723_230348/run29_docker/power.txt
30,docker,run,1504,2.05,8.67,0.00,0.00,./output_RUN_20250723_230348/run30_docker/power.txt
1,podman,run,1731,1.97,8.83,0.00,0.00,./output_RUN_20250723_230348/run1_podman/power.txt
2,podman,run,1731,1.97,8.84,0.00,0.00,./output_RUN_20250723_230348/run2_podman/power.txt
3,podman,run,1834,1.96,8.81,0.00,0.00,./output_RUN_20250723_230348/run3_podman/power.txt
4,podman,run,1830,2.00,8.86,0.00,0.00,./output_RUN_20250723_230348/run4_podman/power.txt
5,podman,run,1630,2.05,8.93,0.00,0.00,./output_RUN_20250723_230348/run5_podman/power.txt
6,podman,run,1832,1.98,8.84,0.00,0.00,./output_RUN_20250723_230348/run6_podman/power.txt
7,podman,run,1831,1.96,8.82,0.00,0.00,./output_RUN_20250723_230348/run7_podman/power.txt
8,podman,run,1833,1.97,8.83,0.00,0.00,./output_RUN_20250723_230348/run8_podman/power.txt
9,podman,run,1731,2.04,8.89,0.00,0.00,./output_RUN_20250723_230348/run9_podman/power.txt
10,podman,run,1836,1.99,8.86,0.00,0.00,./output_RUN_20250723_230348/run10_podman/power.txt
11,podman,run,1730,1.95,8.82,0.00,0.00,./output_RUN_20250723_230348/run11_podman/power.txt
12,podman,run,1631,2.01,8.88,0.00,0.00,./output_RUN_20250723_230348/run12_podman/power.txt
13,podman,run,1630,2.05,8.92,0.00,0.00,./output_RUN_20250723_230348/run13_podman/power.txt
14,podman,run,1629,2.01,8.90,0.00,0.00,./output_RUN_20250723_230348/run14_podman/power.txt
15,podman,run,1732,1.99,8.88,0.00,0.00,./output_RUN_20250723_230348/run15_podman/power.txt
16,podman,run,1731,2.00,8.88,0.00,0.00,./output_RUN_20250723_230348/run16_podman/power.txt
17,podman,run,1731,1.98,8.86,0.00,0.00,./output_RUN_20250723_230348/run17_podman/power.txt
18,podman,run,1731,2.02,8.89,0.00,0.00,./output_RUN_20250723_230348/run18_podman/power.txt
19,podman,run,1730,2.00,8.86,0.00,0.00,./output_RUN_20250723_230348/run19_podman/power.txt
20,podman,run,1831,2.00,8.85,0.00,0.00,./output_RUN_20250723_230348/run20_podman/power.txt
21,podman,run,1734,2.05,8.94,0.00,0.00,./output_RUN_20250723_230348/run21_podman/power.txt
22,podman,run,1732,2.03,8.90,0.00,0.00,./output_RUN_20250723_230348/run22_podman/power.txt
23,podman,run,1631,2.06,8.93,0.00,0.00,./output_RUN_20250723_230348/run23_podman/power.txt
24,podman,run,1729,2.00,8.86,0.00,0.00,./output_RUN_20250723_230348/run24_podman/power.txt
25,podman,run,1732,1.98,8.85,0.00,0.00,./output_RUN_20250723_230348/run25_podman/power.txt
26,podman,run,1732,2.00,8.85,0.00,0.00,./output_RUN_20250723_230348/run26_podman/power.txt
27,podman,run,1631,1.98,8.83,0.00,0.00,./output_RUN_20250723_230348/run27_podman/power.txt
28,podman,run,1831,1.98,8.83,0.00,0.00,./output_RUN_20250723_230348/run28_podman/power.txt
29,podman,run,1730,1.98,8.84,0.00,0.00,./output_RUN_20250723_230348/run29_podman/power.txt
30,podman,run,1630,2.01,8.86,0.00,0.00,./output_RUN_20250723_230348/run30_podman/power.txt
