iteration,runtime,type,duration_ms,avg_pkg_watt,avg_cor_watt,avg_gfx_watt,avg_cpu_c6,power_file,latency_ms,throughput
1,docker,run,1553,2.03,8.91,0.0,0.0,./output_RUN_20250723_235818/run1_docker/power.txt,8.08,123.68
2,docker,run,1545,2.08,8.95,0.0,0.0,./output_RUN_20250723_235818/run2_docker/power.txt,8.02,124.7
3,docker,run,1580,2.04,8.69,0.0,0.0,./output_RUN_20250723_235818/run3_docker/power.txt,8.3,120.51
4,docker,run,1524,2.06,8.77,0.0,0.0,./output_RUN_20250723_235818/run4_docker/power.txt,7.89,126.69
5,docker,run,1524,2.09,8.98,0.0,0.0,./output_RUN_20250723_235818/run5_docker/power.txt,8.01,124.82
6,docker,run,1516,2.08,8.99,0.0,0.0,./output_RUN_20250723_235818/run6_docker/power.txt,7.84,127.52
7,docker,run,1462,2.14,8.85,0.0,0.0,./output_RUN_20250723_235818/run7_docker/power.txt,7.12,140.49
8,docker,run,1518,2.09,8.82,0.0,0.0,./output_RUN_20250723_235818/run8_docker/power.txt,7.63,131.08
9,docker,run,1566,2.08,8.76,0.0,0.0,./output_RUN_20250723_235818/run9_docker/power.txt,7.95,125.79
10,docker,run,1533,2.1,8.84,0.0,0.0,./output_RUN_20250723_235818/run10_docker/power.txt,8.02,124.61
11,docker,run,1489,2.11,8.85,0.0,0.0,./output_RUN_20250723_235818/run11_docker/power.txt,7.16,139.54
12,docker,run,1423,2.18,8.9,0.0,0.0,./output_RUN_20250723_235818/run12_docker/power.txt,7.16,139.65
13,docker,run,1544,2.09,8.81,0.0,0.0,./output_RUN_20250723_235818/run13_docker/power.txt,7.9,126.53
14,docker,run,1532,2.1,8.83,0.0,0.0,./output_RUN_20250723_235818/run14_docker/power.txt,7.77,128.72
15,docker,run,1513,2.08,9.0,0.0,0.0,./output_RUN_20250723_235818/run15_docker/power.txt,7.99,125.14
16,docker,run,1572,2.07,8.76,0.0,0.0,./output_RUN_20250723_235818/run16_docker/power.txt,8.19,122.01
17,docker,run,1409,2.13,8.83,0.0,0.0,./output_RUN_20250723_235818/run17_docker/power.txt,7.07,141.44
18,docker,run,1499,2.07,8.76,0.0,0.0,./output_RUN_20250723_235818/run18_docker/power.txt,7.81,127.97
19,docker,run,1448,2.11,8.8,0.0,0.0,./output_RUN_20250723_235818/run19_docker/power.txt,7.28,137.34
20,docker,run,1549,2.05,8.76,0.0,0.0,./output_RUN_20250723_235818/run20_docker/power.txt,8.03,124.56
21,docker,run,1524,2.07,8.72,0.0,0.0,./output_RUN_20250723_235818/run21_docker/power.txt,8.05,124.2
22,docker,run,1506,2.07,8.65,0.0,0.0,./output_RUN_20250723_235818/run22_docker/power.txt,7.71,129.63
23,docker,run,1498,2.08,8.78,0.0,0.0,./output_RUN_20250723_235818/run23_docker/power.txt,7.6,131.58
24,docker,run,1463,2.06,8.95,0.0,0.0,./output_RUN_20250723_235818/run24_docker/power.txt,7.15,139.89
25,docker,run,1544,2.05,8.68,0.0,0.0,./output_RUN_20250723_235818/run25_docker/power.txt,8.02,124.69
26,docker,run,1538,2.04,8.7,0.0,0.0,./output_RUN_20250723_235818/run26_docker/power.txt,8.16,122.55
27,docker,run,1526,2.06,8.74,0.0,0.0,./output_RUN_20250723_235818/run27_docker/power.txt,7.94,125.89
28,docker,run,1564,2.04,8.68,0.0,0.0,./output_RUN_20250723_235818/run28_docker/power.txt,7.68,130.14
29,docker,run,1597,2.06,8.74,0.0,0.0,./output_RUN_20250723_235818/run29_docker/power.txt,8.22,121.67
30,docker,run,1490,2.08,8.75,0.0,0.0,./output_RUN_20250723_235818/run30_docker/power.txt,7.55,132.44
1,podman,run,1730,1.99,8.86,0.0,0.0,./output_RUN_20250723_235818/run1_podman/power.txt,7.79,128.41
2,podman,run,1731,1.99,8.9,0.0,0.0,./output_RUN_20250723_235818/run2_podman/power.txt,8.05,124.2
3,podman,run,1734,2.01,8.85,0.0,0.0,./output_RUN_20250723_235818/run3_podman/power.txt,7.91,126.33
4,podman,run,1830,1.97,8.84,0.0,0.0,./output_RUN_20250723_235818/run4_podman/power.txt,8.01,124.86
5,podman,run,1732,2.0,8.86,0.0,0.0,./output_RUN_20250723_235818/run5_podman/power.txt,7.95,125.81
6,podman,run,1734,1.99,8.88,0.0,0.0,./output_RUN_20250723_235818/run6_podman/power.txt,7.87,127.05
7,podman,run,1632,2.01,8.86,0.0,0.0,./output_RUN_20250723_235818/run7_podman/power.txt,7.93,126.14
8,podman,run,1731,2.01,8.85,0.0,0.0,./output_RUN_20250723_235818/run8_podman/power.txt,7.39,135.23
9,podman,run,1732,1.97,8.84,0.0,0.0,./output_RUN_20250723_235818/run9_podman/power.txt,7.79,128.32
10,podman,run,1729,1.99,8.86,0.0,0.0,./output_RUN_20250723_235818/run10_podman/power.txt,7.67,130.29
11,podman,run,1733,1.99,8.86,0.0,0.0,./output_RUN_20250723_235818/run11_podman/power.txt,8.2,121.89
12,podman,run,1834,2.0,8.86,0.0,0.0,./output_RUN_20250723_235818/run12_podman/power.txt,8.1,123.42
13,podman,run,1735,1.98,8.84,0.0,0.0,./output_RUN_20250723_235818/run13_podman/power.txt,7.66,130.49
14,podman,run,1833,2.01,8.87,0.0,0.0,./output_RUN_20250723_235818/run14_podman/power.txt,7.74,129.18
15,podman,run,1531,2.05,8.91,0.0,0.0,./output_RUN_20250723_235818/run15_podman/power.txt,7.07,141.35
16,podman,run,1831,1.98,8.86,0.0,0.0,./output_RUN_20250723_235818/run16_podman/power.txt,7.76,128.77
17,podman,run,1834,2.02,8.9,0.0,0.0,./output_RUN_20250723_235818/run17_podman/power.txt,7.57,132.02
18,podman,run,1833,1.94,8.8,0.0,0.0,./output_RUN_20250723_235818/run18_podman/power.txt,7.94,125.86
19,podman,run,1631,1.99,8.85,0.0,0.0,./output_RUN_20250723_235818/run19_podman/power.txt,7.75,128.93
20,podman,run,1630,2.03,8.91,0.0,0.0,./output_RUN_20250723_235818/run20_podman/power.txt,7.06,141.59
21,podman,run,1731,1.99,8.86,0.0,0.0,./output_RUN_20250723_235818/run21_podman/power.txt,7.59,131.79
22,podman,run,1733,2.0,8.87,0.0,0.0,./output_RUN_20250723_235818/run22_podman/power.txt,7.82,127.78
23,podman,run,1730,1.99,8.86,0.0,0.0,./output_RUN_20250723_235818/run23_podman/power.txt,7.94,125.93
24,podman,run,1631,2.01,8.88,0.0,0.0,./output_RUN_20250723_235818/run24_podman/power.txt,7.09,141.11
25,podman,run,1833,1.98,8.87,0.0,0.0,./output_RUN_20250723_235818/run25_podman/power.txt,8.3,120.42
26,podman,run,1732,1.99,8.86,0.0,0.0,./output_RUN_20250723_235818/run26_podman/power.txt,7.63,130.94
